InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,Season,BasePrice,CompetitorPrice,PriceChangeFreq,PriceStdDev,PriceRange,DemandIndicator,NumRivals,PriceSyncScore,ReactivePricingFlag,SearchDuration,PurchaseDelay,NumSearches,ADPExposure,DidPurchase,MitigationApplied,PriceMatchingFlag,VolatilityScore,TrustScore,CollusionFlag
INV502963,22633,HAND WARMER UNION JACK,7,2009-12-15 11:15,1.86,C16472,United Kingdom,clothing,winter,1.85,2.01,1,0.513,2.051,1.206,3,0.268,0,2.6,0.5,2,8,1,0,1,0.4069,3.0787,1
INV502964,85099B,JUMBO BAG RED RETROSPOT,12,2011-05-29 15:16,2.77,C17838,United Kingdom,bags,spring,2.08,2.93,4,0.433,1.349,1.435,3,0.34,0,3.5,2.1,3,7,0,1,0,0.5315,1.7606,1
INV502965,22960,JAM MAKING SET WITH JARS,7,2010-07-18 10:51,4.78,C12422,United Kingdom,kitchen,summer,4.25,4.68,5,1.122,3.354,1.029,6,0.218,1,8.8,1.6,9,6,1,1,0,0.4247,1.5932,1
INV502966,22086,PAPER CHAIN KIT 50S CHRISTMAS,5,2010-08-09 10:23,3.62,C17864,United Kingdom,seasonal,summer,2.95,3.39,4,0.255,0.893,1.053,4,0.457,0,6.2,0.6,2,13,0,1,0,0.4518,2.8396,1
INV502967,22632,HAND WARMER RED POLKA DOT,14,2010-05-20 09:38,2.06,C13254,United Kingdom,clothing,spring,1.85,2.0,3,0.12,0.318,1.066,3,0.303,1,3.2,3.6,1,17,1,1,0,0.3252,2.6307,0
INV502968,22384,LUNCH BAG PINK POLKADOT,3,2010-10-07 15:11,1.95,C15998,United Kingdom,bags,autumn,1.65,1.61,3,0.32,0.904,1.338,6,0.067,0,13.6,0.6,3,12,0,1,1,0.4292,2.0343,0
INV502969,85099B,JUMBO BAG RED RETROSPOT,13,2011-08-24 14:16,2.62,C17629,United Kingdom,bags,summer,2.08,2.4,3,0.36,1.833,1.343,1,0.696,0,5.5,3.0,1,8,1,1,0,0.4367,2.0377,1
INV502970,22114,HOT WATER BOTTLE TEA AND SYMPATHY,3,2010-01-13 09:35,4.63,C14438,United Kingdom,clothing,winter,4.65,4.46,0,1.006,4.797,0.871,8,0.392,1,4.4,1.7,6,6,1,0,0,0.2519,2.436,0
INV502971,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-04-05 13:41,3.41,C13480,United Kingdom,clothing,spring,3.39,3.49,2,0.711,3.276,0.734,1,0.397,1,9.5,0.4,3,6,0,1,1,0.4934,2.1071,0
INV502972,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-05-28 11:44,4.16,C13959,United Kingdom,clothing,spring,3.39,4.41,3,1.123,3.734,1.071,5,0.174,0,20.9,0.9,2,3,0,0,1,0.4883,1.3535,1
INV502973,22423,REGENCY CAKESTAND 3 TIER,1,2010-05-06 12:45,13.82,C18483,United Kingdom,kitchen,spring,12.75,14.75,1,0.699,2.7,0.863,1,0.294,0,12.0,1.6,4,10,0,0,0,0.2815,1.9842,0
INV502974,22960,JAM MAKING SET WITH JARS,5,2010-01-26 12:03,3.99,C15998,United Kingdom,kitchen,winter,4.25,3.9,3,0.865,3.937,0.752,1,0.69,1,5.1,2.4,3,6,1,0,1,0.3597,2.6186,1
INV502975,22383,LUNCH BAG SUKI DESIGN,1,2010-12-23 11:03,1.93,C12635,United Kingdom,bags,winter,1.65,1.73,2,0.119,0.376,1.467,2,0.204,0,9.0,4.2,4,9,0,1,0,0.3642,2.3559,0
INV502976,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2010-09-21 12:17,4.46,C17312,United Kingdom,home_decor,autumn,4.25,4.18,1,1.111,2.953,0.86,2,0.471,0,19.2,1.9,4,4,0,1,0,0.3706,1.5075,0
INV502977,21928,JUMBO STORAGE BAG SUKI,4,2010-03-02 11:37,1.85,C13521,United Kingdom,bags,spring,2.08,1.46,1,0.255,1.245,0.733,7,0.459,0,11.1,0.7,3,5,0,0,0,0.4069,2.4969,0
INV502978,71053,WHITE METAL LANTERN,2,2010-09-13 09:07,3.62,C17479,United Kingdom,home_decor,autumn,3.39,2.97,2,0.584,2.701,1.136,5,0.357,0,21.3,1.7,5,14,0,0,0,0.3269,1.5826,1
INV502979,22457,NATURAL SLATE HEART CHALKBOARD,6,2010-01-01 16:25,0.96,C15813,United Kingdom,home_decor,winter,1.06,1.01,2,0.191,0.913,0.789,5,0.092,0,6.1,0.8,1,7,1,0,1,0.3404,3.4648,1
INV502980,22633,HAND WARMER UNION JACK,14,2010-11-04 10:49,2.32,C17054,Spain,clothing,autumn,1.85,2.42,4,0.455,1.326,1.883,4,0.35,1,5.4,3.1,1,4,0,0,0,0.4227,2.0721,0
INV502981,22086,PAPER CHAIN KIT 50S CHRISTMAS,4,2011-03-05 10:46,3.14,C12672,United Kingdom,seasonal,spring,2.95,3.41,1,0.491,2.167,0.852,4,0.567,0,26.9,1.8,6,11,0,0,0,0.4852,1.6237,1
INV502982,23170,CERAMIC BOWL WITH POLKADOT DESIGN,9,2011-06-14 09:52,4.44,C14182,United Kingdom,kitchen,summer,3.75,4.23,3,0.863,2.574,0.843,8,0.441,0,20.3,2.0,5,23,1,0,0,0.46,1.511,1
INV502983,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-09-10 13:42,5.98,C17493,United Kingdom,clothing,autumn,4.65,6.02,1,1.262,5.806,0.951,3,0.598,1,2.3,0.4,1,16,1,0,1,0.4759,2.6133,0
INV502984,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,4,2010-08-18 08:41,2.44,C15715,United Kingdom,kitchen,summer,2.1,3.06,4,0.422,1.481,0.946,7,0.178,0,10.1,1.5,3,8,1,1,0,0.3503,1.7936,0
INV502985,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2010-05-21 12:05,1.72,C13745,United Kingdom,home_decor,spring,1.69,1.78,4,0.271,0.843,0.956,7,0.446,1,14.3,1.5,6,14,0,1,0,0.349,1.3973,0
INV502986,22633,HAND WARMER UNION JACK,7,2011-06-17 10:26,2.08,C13747,United Kingdom,clothing,summer,1.85,2.25,2,0.525,1.655,0.752,6,0.316,0,4.7,0.6,2,19,1,0,0,0.4647,1.9333,0
INV502987,47566,PARTY BUNTING,2,2011-04-21 12:18,6.1,C14615,United Kingdom,seasonal,spring,4.95,6.21,5,1.704,8.35,0.828,5,0.216,1,8.8,1.2,6,5,1,0,1,0.5865,1.7038,0
INV502988,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-04-04 11:26,3.94,C16307,United Kingdom,clothing,spring,3.39,3.41,5,0.215,1.083,1.264,6,0.323,0,33.3,1.0,5,10,0,0,0,0.3817,1.1091,1
INV502989,21928,JUMBO STORAGE BAG SUKI,6,2010-06-04 11:17,2.01,C18280,United Kingdom,bags,summer,2.08,1.87,1,0.557,1.548,0.77,2,0.61,0,7.6,1.9,5,19,1,0,0,0.4472,2.2083,0
INV502990,23084,RABBIT NIGHT LIGHT,6,2011-10-10 10:06,2.55,C14280,United Kingdom,home_decor,autumn,1.65,2.38,6,0.351,1.633,1.182,2,0.47,0,2.6,0.3,2,13,1,1,1,0.5425,2.6985,0
INV502991,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2011-05-22 12:12,3.14,C18306,United Kingdom,home_decor,spring,2.55,2.93,1,0.296,1.44,1.175,1,0.28,0,7.7,0.8,2,5,1,0,1,0.3789,1.9401,1
INV502992,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2010-11-18 09:11,4.03,C12996,United Kingdom,clothing,autumn,3.39,4.42,7,0.731,3.634,1.302,5,0.283,0,5.6,1.3,1,24,1,0,0,0.4219,1.841,0
INV502993,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2010-10-24 10:31,4.32,C14910,United Kingdom,clothing,autumn,3.39,4.08,4,0.199,1.001,1.254,3,0.379,1,2.1,0.5,2,5,1,0,0,0.3872,2.7676,0
INV502994,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-02-15 13:07,8.76,C14428,United Kingdom,toys,winter,7.65,9.53,2,2.583,11.709,0.904,8,0.501,0,34.9,0.6,5,5,0,0,0,0.5045,1.3426,0
INV502995,22114,HOT WATER BOTTLE TEA AND SYMPATHY,7,2011-11-22 15:37,7.14,C13560,United Kingdom,clothing,autumn,4.65,7.71,2,1.515,4.112,1.571,7,0.658,0,8.1,1.1,1,10,1,0,0,0.4741,1.6704,1
INV502996,22423,REGENCY CAKESTAND 3 TIER,8,2010-07-06 10:39,13.7,C15510,United Kingdom,kitchen,summer,12.75,12.17,4,3.911,11.921,0.995,6,0.174,0,25.4,1.3,1,6,0,0,0,0.4087,1.4193,1
INV502997,22960,JAM MAKING SET WITH JARS,8,2011-01-14 09:14,4.25,C12837,United Kingdom,kitchen,winter,4.25,4.26,1,0.972,2.591,0.727,3,0.734,1,1.7,1.0,1,10,1,0,0,0.4366,2.5555,0
INV502998,22383,LUNCH BAG SUKI DESIGN,15,2010-02-05 15:01,1.8,C12412,United Kingdom,bags,winter,1.65,1.7,2,0.33,1.639,1.184,4,0.328,0,5.3,1.5,3,6,1,1,0,0.4192,2.2485,0
INV502999,23298,SPOTTY BUNTING,22,2011-08-09 13:37,6.1,C14143,United Kingdom,seasonal,summer,4.95,5.94,2,1.266,3.215,1.018,3,0.905,1,9.1,3.1,3,15,1,0,0,0.5862,1.3676,1
INV503000,85099B,JUMBO BAG RED RETROSPOT,1,2010-06-06 11:50,2.25,C14559,United Kingdom,bags,summer,2.08,1.61,0,0.256,1.085,0.975,7,0.327,0,4.9,0.7,1,14,0,0,0,0.3104,2.167,0
INV503001,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-09-04 12:08,10.43,C15088,United Kingdom,toys,autumn,7.65,10.64,4,2.112,5.6,0.964,3,0.515,1,18.6,2.4,1,20,1,0,0,0.5259,1.3453,0
INV503002,47566,PARTY BUNTING,2,2010-06-16 10:54,5.2,C13754,Spain,seasonal,summer,4.95,5.41,7,0.591,2.233,1.024,1,0.101,0,17.3,1.9,5,7,0,0,1,0.4772,1.7048,1
INV503003,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2010-03-05 10:50,2.06,C17519,United Kingdom,kitchen,spring,2.1,2.37,0,0.183,0.499,0.88,3,0.537,0,1.4,0.5,2,2,0,0,0,0.29,2.2514,0
INV503004,21928,JUMBO STORAGE BAG SUKI,3,2011-03-17 14:55,2.43,C12804,United Kingdom,bags,spring,2.08,2.13,2,0.685,3.37,0.983,6,0.507,0,27.3,1.0,5,10,0,0,0,0.4212,1.2197,0
INV503005,22457,NATURAL SLATE HEART CHALKBOARD,2,2010-10-17 10:30,1.29,C16518,United Kingdom,home_decor,autumn,1.06,1.21,1,0.275,0.829,1.615,5,0.624,0,9.5,0.3,1,8,1,0,0,0.2604,1.8163,1
INV503006,20725,LUNCH BAG RED RETROSPOT,4,2011-02-02 09:18,1.8,C17182,United Kingdom,bags,winter,1.65,1.65,1,0.547,2.768,0.685,8,0.43,0,4.5,1.2,2,11,1,0,0,0.2433,2.1127,1
INV503007,20727,LUNCH BAG BLACK SKULL,1,2011-06-23 11:34,1.81,C14068,United Kingdom,bags,summer,1.65,1.35,2,0.248,0.889,0.883,8,0.307,0,4.4,0.5,1,14,1,0,0,0.38,1.9296,1
INV503008,21174,CABINET WITH FAIRY DOORS,1,2010-07-04 12:33,10.71,C16859,United Kingdom,home_decor,summer,9.95,11.2,1,1.233,6.305,0.824,2,0.496,0,5.2,0.4,2,10,1,1,0,0.2772,2.4038,0
INV503009,22197,POPCORN HOLDER,6,2011-08-26 11:27,1.03,C15832,United Kingdom,kitchen,summer,0.85,0.73,4,0.228,0.781,0.783,2,0.737,0,3.4,1.0,2,13,0,1,1,0.4687,2.7331,0
INV503010,22197,POPCORN HOLDER,1,2010-11-09 09:36,1.13,C13920,United Kingdom,kitchen,autumn,0.85,1.2,4,0.064,0.21,1.593,5,0.244,0,9.2,0.4,2,6,1,0,0,0.3843,1.636,1
INV503011,85099B,JUMBO BAG RED RETROSPOT,4,2010-12-02 09:11,2.72,C18022,United Kingdom,bags,winter,2.08,3.01,5,0.509,1.58,1.62,7,0.174,0,9.2,1.6,4,8,0,1,0,0.4204,1.8714,0
INV503012,20727,LUNCH BAG BLACK SKULL,8,2011-03-22 16:14,1.76,C16472,United Kingdom,bags,spring,1.65,1.11,3,0.322,1.13,0.857,6,0.114,0,2.0,0.5,1,22,0,0,0,0.3821,2.9064,0
INV503013,20727,LUNCH BAG BLACK SKULL,13,2011-11-24 09:59,2.52,C15640,United Kingdom,bags,autumn,1.65,2.76,4,0.24,1.158,1.463,4,0.227,0,10.5,2.0,5,5,1,0,0,0.465,1.7447,0
INV503014,85099B,JUMBO BAG RED RETROSPOT,10,2011-08-13 14:31,2.61,C17954,United Kingdom,bags,summer,2.08,2.85,3,0.435,1.305,0.789,5,0.135,0,17.7,0.5,6,10,0,0,0,0.459,1.9121,0
INV503015,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-11-08 15:40,3.42,C16835,United Kingdom,home_decor,autumn,2.55,3.34,6,0.887,3.367,1.497,1,0.401,1,19.5,2.5,7,19,1,0,0,0.3719,1.0357,1
INV503016,71053,WHITE METAL LANTERN,1,2011-11-22 13:00,4.07,C12282,United Kingdom,home_decor,autumn,3.39,4.09,3,0.325,0.839,1.117,2,0.564,1,3.8,0.2,2,8,1,1,0,0.3773,1.7825,1
INV503017,20725,LUNCH BAG RED RETROSPOT,3,2010-10-27 11:28,1.79,C17922,United Kingdom,bags,autumn,1.65,1.79,2,0.368,1.932,1.088,1,0.842,1,,0.5,1,5,1,0,0,0.3965,1.9209,1
INV503018,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,2011-10-02 12:30,4.68,C13020,United Kingdom,clothing,autumn,3.39,,2,0.706,3.077,1.291,1,0.588,1,3.2,0.5,1,4,1,0,1,0.4426,2.9876,0
INV503019,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2010-08-25 11:28,2.31,C15506,United Kingdom,kitchen,summer,2.1,2.7,1,0.57,2.748,1.021,4,0.474,0,,0.3,2,12,0,0,0,0.3304,1.9601,0
INV503020,47566,PARTY BUNTING,5,2011-07-07 16:38,5.87,C14129,United Kingdom,seasonal,summer,4.95,6.19,4,1.277,3.723,0.975,3,0.226,0,5.1,3.0,4,7,0,0,0,0.5982,2.0294,0
INV503021,84406B,CREAM CUPID HEARTS COAT HANGER,11,2011-02-16 15:37,2.91,C13710,United Kingdom,home_decor,winter,2.75,3.22,6,0.233,1.179,0.695,6,0.226,0,4.1,0.2,1,6,1,0,0,0.3855,2.6932,0
INV503022,20727,LUNCH BAG BLACK SKULL,5,2011-03-15 11:32,1.88,C17638,United Kingdom,bags,spring,1.65,1.62,3,0.499,2.252,0.799,7,0.375,0,7.6,0.6,5,7,0,0,0,0.4589,1.7108,1
INV503023,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2010-02-19 12:47,3.26,C17566,United Kingdom,clothing,winter,3.39,3.06,0,0.777,2.14,0.79,8,0.203,0,8.3,1.4,1,17,1,0,0,0.2461,2.3814,0
INV503024,22114,HOT WATER BOTTLE TEA AND SYMPATHY,3,2010-03-22 14:40,5.07,C17660,United Kingdom,clothing,spring,4.65,5.13,6,0.913,4.499,0.966,8,0.225,1,5.7,1.8,1,11,1,0,0,0.4212,2.2721,0
INV503025,22086,PAPER CHAIN KIT 50S CHRISTMAS,2,2009-12-08 12:30,3.35,C16677,United Kingdom,seasonal,winter,2.95,4.14,4,0.57,2.604,1.23,3,0.675,0,42.4,2.3,2,15,1,0,1,0.465,1.6531,1
INV503026,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2010-03-25 13:44,2.1,C18187,United Kingdom,kitchen,spring,2.1,2.5,1,0.65,2.236,0.847,6,0.802,0,2.1,0.8,1,9,1,1,0,0.2968,3.155,0
INV503027,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2010-06-12 10:38,4.41,C12293,United Kingdom,home_decor,summer,4.25,3.98,1,1.008,3.908,0.916,4,0.208,0,20.8,2.4,2,25,1,1,0,0.3472,1.9031,0
INV503028,22633,HAND WARMER UNION JACK,1,2011-10-14 15:15,2.65,C17798,United Kingdom,clothing,autumn,1.85,3.21,1,0.539,1.584,1.395,8,0.0,0,2.3,0.7,4,17,1,1,1,0.4241,1.8889,0
INV503029,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2010-02-20 09:10,2.23,C14000,United Kingdom,kitchen,winter,2.1,1.76,0,0.23,0.655,0.74,7,0.058,0,8.3,0.6,6,14,1,1,0,0.1597,2.5091,0
INV503030,22960,JAM MAKING SET WITH JARS,1,2010-05-19 12:58,4.36,C12872,United Kingdom,kitchen,spring,4.25,4.51,1,1.283,3.829,0.858,3,0.458,0,14.7,0.5,3,24,1,0,0,0.4097,1.8239,0
INV503031,22384,LUNCH BAG PINK POLKADOT,2,2010-01-29 12:02,1.63,C13886,United Kingdom,bags,winter,1.65,1.75,2,0.171,0.76,0.69,8,0.179,0,6.9,0.6,1,21,0,1,0,0.1875,3.2049,0
INV503032,22632,HAND WARMER RED POLKA DOT,3,2010-12-22 15:06,2.07,C14853,United Kingdom,clothing,winter,1.85,2.01,3,0.42,1.157,1.195,1,0.334,1,7.2,1.4,4,12,0,0,1,0.5379,2.0615,0
INV503033,22752,SET 7 BABUSHKA NESTING BOXES,1,2010-07-02 10:56,8.1,C12644,United Kingdom,toys,summer,7.65,8.13,3,1.401,6.972,1.001,8,0.09,1,,3.2,5,14,0,0,0,0.44,1.4736,0
INV503034,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2010-01-18 12:29,3.19,C13396,United Kingdom,clothing,winter,3.39,3.42,2,0.821,3.549,0.745,5,0.36,0,2.0,0.4,1,19,0,0,1,0.2554,3.3826,0
INV503035,22197,POPCORN HOLDER,1,2011-04-28 13:15,0.98,C18434,United Kingdom,kitchen,spring,0.85,1.01,1,0.194,1.002,0.842,2,0.247,1,11.1,0.5,4,16,0,0,1,0.4071,1.6325,1
INV503036,21928,JUMBO STORAGE BAG SUKI,4,2010-01-09 09:21,1.98,C14655,United Kingdom,bags,winter,2.08,1.8,3,0.199,0.603,0.802,5,0.43,0,3.5,0.2,1,12,1,0,0,0.2706,3.312,0
INV503037,85099B,JUMBO BAG RED RETROSPOT,2,2010-03-03 09:28,2.19,C16626,United Kingdom,bags,spring,2.08,2.3,2,0.605,3.185,1.108,1,0.265,1,11.7,2.1,4,9,1,0,0,0.4153,1.6711,1
INV503038,20727,LUNCH BAG BLACK SKULL,30,2011-05-14 10:29,2.34,C13318,United Kingdom,bags,spring,1.65,1.59,5,0.463,1.465,1.476,7,0.242,0,4.8,2.3,3,17,1,0,1,0.4906,2.0587,0
INV503039,84879,ASSORTED COLOUR BIRD ORNAMENT,14,2011-12-04 13:28,2.73,C16824,United Kingdom,home_decor,winter,1.69,2.63,2,0.137,0.702,2.114,2,0.454,1,8.2,2.2,2,12,0,0,0,0.3072,2.1789,1
INV503040,22384,LUNCH BAG PINK POLKADOT,1,2010-08-03 09:09,1.58,C15408,United Kingdom,bags,summer,1.65,1.7,2,0.205,0.95,0.96,1,0.123,0,6.7,0.1,2,13,1,0,0,0.393,1.2074,0
INV503041,21928,JUMBO STORAGE BAG SUKI,6,2011-09-25 12:37,2.3,C17184,EIRE,bags,autumn,2.08,2.29,4,0.462,1.672,0.871,1,0.337,1,6.7,1.7,2,15,1,0,0,0.525,1.8501,1
INV503042,22423,REGENCY CAKESTAND 3 TIER,2,2011-04-29 14:06,16.2,C16035,United Kingdom,kitchen,spring,12.75,16.2,2,3.524,12.836,0.914,2,0.746,1,4.5,3.3,3,16,1,1,1,0.4214,2.2091,1
INV503043,21928,JUMBO STORAGE BAG SUKI,3,2010-02-09 10:07,1.69,C17571,United Kingdom,bags,winter,2.08,1.97,1,0.499,1.694,0.846,8,0.417,0,6.2,0.9,3,11,1,1,0,0.3148,3.0166,0
INV503044,22752,SET 7 BABUSHKA NESTING BOXES,19,2011-10-06 11:33,10.41,C13747,United Kingdom,toys,autumn,7.65,10.68,7,1.683,5.495,1.339,7,0.56,1,17.7,2.8,1,19,1,0,0,0.6471,1.1388,1
INV503045,47566,PARTY BUNTING,3,2011-08-06 13:04,6.44,C16242,United Kingdom,seasonal,summer,4.95,8.99,5,0.444,1.337,0.994,7,0.099,0,2.0,2.0,1,6,1,0,0,0.5234,2.7494,0
INV503046,23170,CERAMIC BOWL WITH POLKADOT DESIGN,4,2010-10-04 12:55,4.42,C16199,Australia,kitchen,autumn,3.75,3.19,3,1.189,3.417,1.182,8,0.242,0,,1.1,1,4,1,0,0,0.3883,1.8894,0
INV503047,84029E,RED WOOLLY HOTTIE WHITE HEART,5,2010-11-27 14:48,4.18,C16986,United Kingdom,clothing,autumn,3.39,4.69,3,0.236,0.819,1.514,5,0.162,0,18.6,1.1,4,20,0,1,1,0.396,2.1698,0
INV503048,47566,PARTY BUNTING,25,2011-04-20 09:37,5.86,C15928,United Kingdom,seasonal,spring,4.95,6.01,6,1.433,6.562,0.974,2,0.411,1,,3.8,1,9,1,0,0,0.5736,2.4015,1
INV503049,22423,REGENCY CAKESTAND 3 TIER,5,2010-03-06 12:46,12.98,C18413,United Kingdom,kitchen,spring,12.75,9.45,0,2.802,12.508,0.776,2,0.158,0,22.4,1.4,1,8,0,1,0,0.2003,2.6755,0
INV503050,22383,LUNCH BAG SUKI DESIGN,10,2010-01-03 08:47,1.37,C12829,United Kingdom,bags,winter,1.65,1.51,2,0.334,1.104,0.956,7,0.395,0,6.2,6.7,2,16,0,0,1,0.3039,2.6939,0
INV503051,22960,JAM MAKING SET WITH JARS,2,2011-08-15 12:18,5.21,C15895,United Kingdom,kitchen,summer,4.25,5.44,3,0.309,1.08,0.948,5,0.098,0,11.3,2.8,4,10,1,1,0,0.3539,2.0277,0
INV503052,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-01-28 11:51,7.8,C14290,Germany,toys,winter,7.65,8.29,1,2.393,8.748,0.634,7,0.567,0,4.6,0.8,4,24,1,0,0,0.3844,2.2859,0
INV503053,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,2,2010-08-25 13:25,2.22,C13346,France,kitchen,summer,2.1,2.09,5,0.482,2.486,1.003,1,0.484,0,6.4,0.3,1,17,1,1,1,0.4439,2.8589,0
INV503054,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-01-22 17:11,2.61,C13421,United Kingdom,home_decor,winter,2.55,2.86,3,0.293,1.602,0.712,1,0.413,0,6.7,0.5,4,10,0,0,1,0.3958,2.6208,0
INV503055,23298,SPOTTY BUNTING,1,2011-02-12 13:09,6.76,C15269,United Kingdom,seasonal,winter,4.95,7.09,4,1.372,5.124,1.025,5,0.156,1,2.6,0.5,3,6,1,0,0,0.4944,2.4126,1
INV503056,23170,CERAMIC BOWL WITH POLKADOT DESIGN,1,2011-05-21 12:29,4.34,C18491,United Kingdom,kitchen,spring,3.75,3.81,2,0.242,1.293,0.938,7,0.273,0,6.6,1.7,8,22,1,0,0,0.3468,2.0198,0
INV503057,85099B,JUMBO BAG RED RETROSPOT,4,2010-11-09 13:27,2.99,C17599,United Kingdom,bags,autumn,2.08,3.38,0,0.297,1.455,1.519,6,0.106,0,8.7,0.8,4,3,1,0,0,0.3231,1.9675,0
INV503058,23084,RABBIT NIGHT LIGHT,6,2010-11-01 09:45,1.9,C17078,United Kingdom,home_decor,autumn,1.65,1.65,5,0.307,1.425,1.441,7,0.235,0,10.0,0.5,4,19,0,1,0,0.2934,1.8594,1
INV503059,23170,CERAMIC BOWL WITH POLKADOT DESIGN,2,2011-07-19 11:37,4.33,C16464,United Kingdom,kitchen,summer,3.75,4.27,2,0.288,0.993,0.87,7,0.269,1,5.0,1.7,2,15,1,0,0,0.3436,2.3325,1
INV503060,21928,JUMBO STORAGE BAG SUKI,18,2010-01-20 11:55,2.37,C15128,Spain,bags,winter,2.08,2.67,1,0.374,1.394,0.838,5,0.347,0,4.5,3.8,1,19,1,0,0,0.338,2.5171,0
INV503061,22197,POPCORN HOLDER,1,2011-06-13 12:30,0.88,C14802,United Kingdom,kitchen,summer,0.85,0.84,3,0.29,0.778,0.785,8,0.354,1,13.7,5.5,7,12,1,0,0,0.4012,1.3618,0
INV503062,20725,LUNCH BAG RED RETROSPOT,19,2011-03-19 13:42,2.08,C15557,United Kingdom,bags,spring,1.65,2.1,3,0.219,0.9,1.08,6,0.1,1,10.0,2.8,2,20,1,0,1,0.3574,2.3142,0
INV503063,22197,POPCORN HOLDER,8,2010-02-22 14:43,0.85,C12839,United Kingdom,kitchen,winter,0.85,0.88,1,0.122,0.532,0.638,2,0.289,1,4.8,3.0,4,7,0,0,0,0.2247,2.38,0
INV503064,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-10-11 10:37,4.67,C13188,United Kingdom,clothing,autumn,3.39,,6,0.507,1.687,1.249,3,0.724,1,3.7,0.5,4,17,1,0,1,0.4567,2.3455,1
INV503065,21730,GLASS STAR FROSTED T-LIGHT HOLDER,16,2010-09-17 13:45,5.13,C18363,United Kingdom,home_decor,autumn,4.25,5.24,2,0.556,2.706,1.052,2,0.391,1,6.4,0.4,1,8,1,1,0,0.4678,3.2593,0
INV503066,22383,LUNCH BAG SUKI DESIGN,4,2010-12-22 17:36,2.21,C17833,United Kingdom,bags,winter,1.65,2.47,4,0.127,0.55,1.335,8,0.428,0,5.9,0.6,1,11,1,0,0,0.3494,2.4686,0
INV503067,22423,REGENCY CAKESTAND 3 TIER,5,2010-06-19 12:18,15.0,C17190,United Kingdom,kitchen,summer,12.75,15.24,2,1.974,7.462,1.188,1,0.435,1,10.3,1.4,6,12,1,0,0,0.3199,1.1345,1
INV503068,22384,LUNCH BAG PINK POLKADOT,19,2011-06-26 12:54,2.13,C13106,Germany,bags,summer,1.65,1.99,1,0.162,0.543,1.02,5,0.086,0,3.1,2.1,1,18,1,0,0,0.3887,3.206,0
INV503069,21174,CABINET WITH FAIRY DOORS,23,2011-11-21 13:54,14.88,C13364,United Kingdom,home_decor,autumn,9.95,14.95,1,1.285,3.927,1.785,8,0.425,1,3.3,7.0,2,7,1,0,0,0.3082,2.3233,1
INV503070,21928,JUMBO STORAGE BAG SUKI,5,2010-06-22 15:51,2.23,C14793,United Kingdom,bags,summer,2.08,2.24,1,0.614,2.181,0.774,1,0.806,1,13.4,1.3,2,8,1,0,1,0.3854,1.5086,0
INV503071,84406B,CREAM CUPID HEARTS COAT HANGER,12,2010-02-16 11:31,2.32,C17955,Germany,home_decor,winter,2.75,2.18,2,0.616,1.776,0.738,3,0.206,0,2.7,0.8,2,6,1,1,1,0.1864,3.6669,0
INV503072,22423,REGENCY CAKESTAND 3 TIER,1,2011-07-01 14:44,13.95,C16115,United Kingdom,kitchen,summer,12.75,14.19,3,1.11,4.011,0.897,5,0.6,1,14.0,2.1,9,5,1,0,0,0.4729,1.1207,1
INV503073,23298,SPOTTY BUNTING,1,2010-08-09 11:30,5.5,C17921,United Kingdom,seasonal,summer,4.95,5.52,0,1.521,4.486,1.025,2,0.126,1,12.5,1.2,4,6,1,0,0,0.4916,1.4659,0
INV503074,84406B,CREAM CUPID HEARTS COAT HANGER,59,2011-06-14 12:05,3.44,C15558,France,home_decor,summer,2.75,2.71,0,0.96,4.72,1.184,3,0.553,0,5.6,3.0,2,18,0,0,1,0.4178,1.995,0
INV503075,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,4,2011-11-29 14:00,2.57,C15212,United Kingdom,kitchen,autumn,2.1,2.74,1,0.271,1.129,1.316,2,0.386,0,24.2,2.9,3,5,1,0,0,0.4262,1.2065,0
